year,count
1950,266915
1806,1137
1840,4386
1919,65128
1936,137951
1951,303926
1958,392406
1921,87996
1882,18360
1983,1590389
1905,74819
1972,889712
2007,6583721
1979,1346674
1873,13203
1887,21610
2014,10059989
1988,2025665
1899,55860
1986,1837877
1908,81386
1949,191083
1816,1359
1895,40362
1969,831190
1930,141257
1846,5348
1967,712199
1964,559027
1956,346370
1911,90140
1937,133597
2012,9240626
1924,102097
1991,2329793
1811,1216
1940,156546
1918,62246
1975,1010161
1945,99095
1891,24539
1850,7089
1942,118868
2016,10242168
1893,28948
1826,1883
1805,982
1897,46337
1858,8324
1935,138028
1810,1203
1833,2751
1831,2424
"",1030
1960,472931
1902,65300
1934,136615
1994,2686050
1898,47053
1862,8084
1817,1268
1923,94377
1955,333313
1800,3749
1987,1920867
1849,5257
2018,4662811
1821,1720
1896,41334
1999,3590389
1888,21927
1997,3161063
1807,956
1948,164297
1855,8220
1963,514049
1884,18640
1909,84576
1875,14758
1845,5045
1953,337055
1877,15071
1838,3710
1894,36518
1829,2558
2010,8252765
2009,7651786
1928,120464
1944,98689
1822,1633
1864,8870
1926,110879
1867,9501
1808,1139
1947,142727
1809,1207
1804,1182
2006,6181823
1876,14264
1832,2524
1879,16457
2017,9548547
1920,80452
1970,946709
1815,1812
1998,3383230
2013,9820164
1885,18991
1857,9370
1866,9270
1959,416269
1856,8001
1842,4644
1968,770141
1813,1126
1812,1224
1925,106135
1976,1089123
1880,19278
1984,1650030
1977,1217860
1890,24141
1900,62719
1915,76246
2004,5276239
1931,139220
2003,4852915
1820,1605
1803,1231
1912,94668
2002,4538921
1853,7603
1910,87923
1982,1524334
1903,74782
1818,1320
1889,23878
1801,1453
2011,8756629
1966,665142
1954,330482
1802,1250
1933,135286
1859,8999
1825,1826
1837,3658
1973,952107
1823,1621
1980,1472888
1957,376776
1962,486938
1814,1187
1847,4712
1863,8689
1892,25492
1872,12587
1861,7480
1971,877319
1913,96395
1978,1291659
1824,1760
1886,20238
1995,2808528
1830,2987
1187733938,2
2005,5684810
1938,137720
2019,62807
1865,8525
1869,10218
1974,956453
1932,142120
1914,89906
1922,92371
1917,65329
1906,76652
1946,124825
1907,78887
1981,1472170
1941,125601
1996,2976393
1881,17733
1992,2466819
1871,10533
1852,6690
2008,7141898
1965,626058
1927,114802
1868,9885
1848,5170
1961,466018
1943,112122
1878,15889
1828,2500
1841,4267
1874,13372
1993,2484074
1901,60049
1989,2144989
1939,139997
1916,69634
1904,72355
1835,3607
1844,4768
2001,4185771
2000,3975157
1834,3154
1839,3936
1870,11845
1860,9197
1985,1739635
1883,19499
1990,2301017
1952,317859
1929,130585
1819,1256
1851,7511
1827,2354
1854,7439
1836,3546
2015,10235682
1843,4832
